2026-09-07 23:46:19,450 | INFO | hr_assistant.pipeline | Building the HR assistant
2026-09-07 23:46:19,450 | INFO | hr_assistant.tracing | LangSmith tracing ENABLED - project 'hr_policy_assistant', traces at https://smith.langchain.com
2026-09-07 23:46:24,912 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/exists "HTTP/1.1 200 OK"
2026-09-07 23:46:24,912 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-07 23:46:24,938 | INFO | hr_assistant.pipeline | Qdrant Cloud collection already exists, reusing it
2026-09-07 23:46:24,939 | INFO | hr_assistant.vector_store | Connecting to existing Qdrant collection 'hr_policy'
2026-09-07 23:46:24,940 | INFO | hr_assistant.embeedings | Initializing embedding LLM 'jina-embeddings-v2-base-en' 
2026-09-07 23:46:27,530 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy "HTTP/1.1 200 OK"
2026-09-07 23:46:29,007 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-07 23:47:41,329 | INFO | hr_assistant.vector_store | Creating retriever with top_k = 3
2026-09-07 23:47:41,333 | INFO | hr_assistant.llm | Intiliazing the LLM via portkey
2026-09-07 23:47:41,334 | INFO | hr_assistant.gateway | Routing LLM calls through Portkey (provider=@hrpolicy)
2026-09-07 23:47:43,767 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-09-07 23:47:43,838 | INFO | hr_assistant.agent | HR agent is ready
2026-09-07 23:47:43,839 | INFO | hr_assistant.pipeline | HR assistant is ready to take the question
2026-09-07 23:47:54,308 | INFO | __main__ | === Streamlit run: new question received ===
2026-09-07 23:47:54,314 | INFO | hr_assistant.pipeline | User question: hii
