2026-09-05 21:42:29,332 | INFO | hr_assistant.pipeline | Building the HR assistant
2026-09-05 21:42:29,332 | INFO | hr_assistant.tracing | LangSmith tracing ENABLED - project 'hr_policy_assistant', traces at https://smith.langchain.com
2026-09-05 21:42:37,955 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-05 21:42:37,971 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/exists "HTTP/1.1 200 OK"
2026-09-05 21:42:37,973 | INFO | hr_assistant.pipeline | Qdrant Cloud collection already exists, reusing it
2026-09-05 21:42:37,974 | INFO | hr_assistant.vector_store | Connecting to existing Qdrant collection 'hr_policy'
2026-09-05 21:42:37,974 | INFO | hr_assistant.embeedings | Initializing embedding LLM 'jina-embeddings-v2-base-en' 
2026-09-05 21:42:41,262 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy "HTTP/1.1 200 OK"
2026-09-05 21:42:41,398 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-05 21:42:51,785 | INFO | hr_assistant.vector_store | Creating retriever with top_k = 3
2026-09-05 21:42:51,787 | INFO | hr_assistant.llm | Intiliazing the LLM via portkey
2026-09-05 21:42:51,787 | INFO | hr_assistant.gateway | Routing LLM calls through Portkey (provider=%s)
2026-09-05 21:42:53,175 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-09-05 21:42:53,210 | INFO | hr_assistant.agent | HR agent is ready
2026-09-05 21:42:53,211 | INFO | hr_assistant.pipeline | HR assistant is ready to take the question
2026-09-05 21:43:03,255 | INFO | __main__ | === Streamlit run: new question received ===
2026-09-05 21:43:03,258 | INFO | hr_assistant.pipeline | User question: hii 
2026-09-05 21:43:17,839 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-05 21:43:22,407 | INFO | httpx | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 400 Bad Request"
